periodo,cuyo,gba,nacional,noreste,noroeste,pampeana,patagonia,var_im_gba,var_im_pampeana,var_im_noreste,var_im_noroeste,var_im_cuyo,var_im_patagonia,var_im_nacional,var_ia_gba,var_ia_pampeana,var_ia_noreste,var_ia_noroeste,var_ia_cuyo,var_ia_patagonia,var_ia_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,102.9333,99.9812,101.4784,101.394,101.5904,102.225,110.3184,-0.00018799999999996597,0.02224999999999988,0.013940000000000063,0.015903999999999918,0.029333000000000053,0.10318399999999994,0.014783999999999908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,106.7382,108.4042,107.0014,103.9854,107.6923,104.5783,112.0198,0.08424583821758502,0.023020787478601257,0.02555772530918987,0.060063746180741395,0.03696471404297741,0.015422631220177285,0.054425375252270536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,111.8642,110.7756,110.8463,113.2471,121.3727,107.7477,115.3729,0.02187553618771232,0.03030647849506063,0.08906731137255819,0.12703229478802092,0.048024043875575906,0.02993310111248193,0.03593317470612534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,122.532,115.889,117.4108,116.5835,131.8395,115.7988,119.3459,0.04615998468976912,0.07472178060413359,0.029461240067074623,0.08623685556966265,0.09536384294528544,0.03443616308509179,0.0592216429416228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,126.0123,118.0458,119.5207,117.776,135.6425,117.1786,123.2025,0.0186109121659519,0.01191549480650922,0.01022872018767651,0.028845679784890166,0.02840319263539315,0.03231447414615829,0.017970237831613556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,127.1536,120.9192,121.6359,120.8334,136.4026,118.5639,124.7449,0.024341399694017163,0.011822124517616661,0.02595944844450493,0.0056037009049523245,0.009057052367110296,0.012519226476735534,0.017697352843482284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,128.3865,123.9173,124.0879,122.6814,138.6344,120.4739,127.5967,0.024794242767070873,0.016109456588388138,0.015293784665498134,0.016361858205048874,0.009696147022184354,0.022861054840718875,0.020158522278373336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,131.3004,127.1644,126.7648,125.24,139.6986,122.5117,131.1214,0.026203766544300233,0.01691486703759071,0.020855647229327312,0.007676305447998466,0.02269631152808116,0.02762375515981219,0.021572611028150224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,132.9221,128.2415,129.2656,126.0757,141.2223,127.7062,133.0531,0.008470137868774597,0.042400031996943977,0.0066727882465666966,0.010907052755002589,0.012351066714191283,0.014732148985596494,0.019727873983945265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,134.6046,128.9128,130.4139,127.2673,142.4805,129.1378,136.4261,0.005234654928396809,0.011210105695729666,0.00945146447729428,0.008909357799724349,0.012657789788154128,0.02535078100397503,0.008883260511690638,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,138.7605,130.1608,132.0294,129.5474,144.0943,130.8879,137.5471,0.00968096263520768,0.01355218998620078,0.017915835410981407,0.011326462217636779,0.03087487351843854,0.008216902777401058,0.012387483236065977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,165.1175,154.7145,155.5929,142.9635,163.7299,156.3938,148.7892,0.188641280631342,0.19486828041400317,0.10356132195628787,0.13626909600171544,0.18994598606952273,0.08173273009754478,0.17847161314070936,0.5471449999999998,0.563938,0.4296350000000002,0.6372989999999998,0.6511750000000001,0.487892,0.5559289999999999
2018-01-01,168.0202,152.2688,157.216,150.8653,170.9317,160.0429,163.279,-0.01580782667429359,0.02333276638843751,0.05527145040517323,0.043985857195295575,0.017579602404348416,0.09738475642049282,0.010431709930209143,0.5229743191720042,0.5655945218879923,0.48791151350178485,0.6825576038680821,0.6323211244563225,0.48007041436424025,0.54925580221998
2018-02-01,171.2547,159.7757,163.1754,156.3803,174.9795,165.2768,164.2805,0.049300316282784085,0.032703106479575306,0.036555788508026765,0.023680803502217573,0.019250661527602242,0.006133673038173804,0.037905811113372545,0.4738884655760569,0.5804119975176496,0.5038678506790377,0.6248097589149828,0.6044368370461559,0.4665309168557701,0.5249837852588843
2018-03-01,172.4761,161.3686,164.1018,158.1823,178.9125,163.5169,172.2264,0.009969601134590445,-0.010648197448159813,0.01152319058091078,0.02247691872476487,0.007132067032320721,0.04836788298063377,0.005677326361694268,0.45671609993536477,0.5175906307048781,0.396788968547539,0.47407530688532096,0.5418346530882983,0.49278036696659266,0.48044454348047694
2018-04-01,192.6066,172.2109,177.2462,174.4149,199.3067,177.5987,181.6787,0.06718965151832523,0.0861183155991827,0.10261957248061249,0.11398979948298749,0.11671472163389596,0.05488299122550311,0.08009906046125015,0.48599867114221373,0.5336834233169947,0.4960513280181156,0.511737377644788,0.5718881598276369,0.522286898837748,0.5096243275746353
