periodo,cuyo,gba,nacional,noreste,noroeste,pampeana,patagonia,var_im_gba,var_im_pampeana,var_im_noreste,var_im_noroeste,var_im_cuyo,var_im_patagonia,var_im_nacional,var_ia_gba,var_ia_pampeana,var_ia_noreste,var_ia_noroeste,var_ia_cuyo,var_ia_patagonia,var_ia_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,102.7973,103.8174,103.0516,102.7252,104.1098,102.0782,101.6649,0.03817400000000015,0.020781999999999856,0.027252000000000054,0.04109800000000008,0.027973000000000026,0.016649000000000136,0.030515999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,105.0927,108.0484,107.2514,107.0976,107.0784,106.7706,105.7368,0.04075424736123234,0.04596867891479284,0.04256404465506036,0.028514126431901543,0.022329380246368213,0.040052171398388126,0.04075434054396054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,108.0971,110.6652,110.6933,110.7662,113.163,110.9914,107.843,0.024218776030001443,0.03953148151270103,0.03425473586709682,0.05682378518916975,0.02858809413022989,0.01991927124709658,0.032091888777209254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,117.3494,118.2386,118.2686,120.0581,120.6617,118.1294,115.2587,0.06843524432251513,0.06431128898274996,0.08388750358863994,0.06626459178353339,0.08559249045534068,0.0687638511539923,0.06843503626687442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,117.3533,118.1821,118.6553,120.4868,120.8609,119.2354,115.391,-0.0004778473358107993,0.00936261421796769,0.003570771151634178,0.0016508966805539593,3.323408555999663e-05,0.0011478526132950861,0.003269675974857167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,117.0591,120.4465,120.1049,120.8067,121.8266,120.1817,116.2683,0.019160262002452022,0.007936401437828033,0.0026550626292674018,0.007990177137519261,-0.0025069597531556242,0.007602845975855921,0.01221690055142921,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,119.8053,121.0689,121.2281,121.6829,121.6774,122.0774,117.0195,0.005167439485580738,0.015773616116263822,0.007252908986008277,-0.001224691487737406,0.023459944592090665,0.0064609184102630834,0.009351824946359333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,121.3918,123.3833,123.052,122.6999,124.5091,123.1496,119.0533,0.01911638744549604,0.008782952454754245,0.00835778897445727,0.02327219352155785,0.013242318995904112,0.017380009314686973,0.015045191667608426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,121.5069,124.5391,124.3454,123.532,125.999,124.8701,120.0112,0.009367556225194251,0.013970812735079718,0.0067815866190599206,0.011966193635645883,0.0009481694809698737,0.008045976046023195,0.010511003478204328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
