periodo,0a1_bienes_y_servicios,0a1_cuidado,0a1_total,1a3_bienes_y_servicios,1a3_cuidado,1a3_total,4a5_bienes_y_servicios,4a5_cuidado,4a5_total,6a12_bienes_y_servicios,6a12_cuidado,6a12_total,var_im_0a1_bienes_y_servicios,var_im_0a1_cuidado,var_im_0a1_total,var_im_1a3_bienes_y_servicios,var_im_1a3_cuidado,var_im_1a3_total,var_im_4a5_bienes_y_servicios,var_im_4a5_cuidado,var_im_4a5_total,var_im_6a12_bienes_y_servicios,var_im_6a12_cuidado,var_im_6a12_total,var_ia_0a1_bienes_y_servicios,var_ia_0a1_cuidado,var_ia_0a1_total,var_ia_1a3_bienes_y_servicios,var_ia_1a3_cuidado,var_ia_1a3_total,var_ia_4a5_bienes_y_servicios,var_ia_4a5_cuidado,var_ia_4a5_total,var_ia_6a12_bienes_y_servicios,var_ia_6a12_cuidado,var_ia_6a12_total
2020-01-01,4572.99,13390.41,17963.41,5904.8,15303.33,21208.14,7520.48,9564.58,17085.06,9329.18,12096.0,21425.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,4620.18,13390.41,18010.6,5965.74,15303.33,21269.07,7598.09,9564.58,17162.67,9425.46,12096.0,21521.46,0.010319287818254752,0.0,0.00262700678768657,0.010320417287630335,0.0,0.0028729534980436178,0.010319820011488678,0.0,0.004542565258769837,0.010320306822250158,0.0,0.004493777881912742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,4756.7,13905.57,18662.27,6142.01,15892.08,22034.09,7822.59,9932.55,17755.14,9703.95,12600.0,22303.95,0.029548632304368994,0.038472309660421145,0.03618258136874952,0.02954704697154087,0.038472018835116195,0.035968662475604374,0.029546899286531314,0.03847215455357156,0.03452085252469472,0.0295465685494396,0.04166666666666674,0.03635859277205178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,4824.56,13905.57,18730.13,6229.63,15892.08,22121.72,7934.19,9932.55,17866.74,9842.39,12600.0,22442.39,0.014266192948893197,0.0,0.0036362136010250623,0.014265688268172871,0.0,0.0039770192460863996,0.014266374691757955,0.0,0.006285503803405756,0.01426635545319166,0.0,0.006206972307595704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,4879.65,14420.72,19300.38,6300.77,16480.83,22781.61,8024.79,10300.52,18325.31,9954.79,13062.0,23016.79,0.011418657867245718,0.037046305904756105,0.0304455975479081,0.011419618821663535,0.03704675536493651,0.029829958972448667,0.011418935014160247,0.037046881213787186,0.025666125997243938,0.011419990469794472,0.036666666666666625,0.02559442198446793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,4962.37,14420.72,19383.1,6407.59,16480.83,22888.42,8160.83,10300.52,18461.35,10123.54,13062.0,23185.54,0.016952035494349094,0.0,0.004285925976586835,0.01695348346313219,0.0,0.004688430712315617,0.016952468538117493,0.0,0.007423612479133812,0.016951638357012078,0.0,0.007331604450490303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,5042.86,14420.72,19463.59,6511.51,16480.83,22992.34,8293.19,10300.52,18593.71,10287.73,13062.0,23349.73,0.016220072263857688,0.0,0.004152586531566138,0.01621826614998767,0.0,0.004540287184523928,0.01621893851483258,0.0,0.0071695731893930414,0.016218634983414804,0.0,0.007081568943401839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,5151.19,14420.72,19571.92,6651.39,16480.83,23132.22,8471.34,10300.52,18771.86,10508.73,13062.0,23570.73,0.021481857517361203,0.0,0.005565776919879584,0.021481960405497436,0.0,0.006083765288787513,0.021481480588289914,0.0,0.009581197082239257,0.021481901255184566,0.0,0.009464777537042224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,5348.08,14420.72,19768.81,6905.63,16480.83,23386.46,8795.15,10300.52,19095.67,10910.42,13062.0,23972.42,0.038222236027015244,0.0,0.010059820395750707,0.038223589355006915,0.0,0.010990730677816307,0.03822417704873127,0.0,0.01724975575142773,0.03822440960991491,0.0,0.017041898999309746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,5653.41,14420.72,20074.14,7299.88,16480.83,23780.71,9297.27,10300.52,19597.79,11533.3,13062.0,24595.3,0.05709151695561765,0.0,0.015445036904092824,0.05709109813297264,0.0,0.01685804521077583,0.057090555590296965,0.0,0.026294966345773885,0.057090377822301974,0.0,0.02598319235187785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,5864.55,14420.72,20285.28,7572.51,16480.83,24053.34,9644.49,10300.52,19945.02,11964.03,13062.0,25026.03,0.03734737087881479,0.0,0.010518009737901624,0.0373471892688646,0.0,0.01146433390760837,0.03734644686020738,0.0,0.017717814100467466,0.037346639730172715,0.0,0.01751269551499668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,6140.01,15863.02,22003.03,7928.19,18129.16,26057.35,10097.5,11330.72,21428.23,12525.98,14406.0,26931.98,0.046970355781773554,0.10001581058366016,0.0846796297610879,0.04696989505461202,0.10001498710926571,0.08331524852681582,0.04697086108233828,0.10001436820665344,0.07436492919034432,0.04696995911912616,0.10289389067524124,0.0761587035578557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,6395.01,15863.02,22258.03,8257.46,18129.16,26386.62,10516.86,11330.72,21847.59,13046.21,14406.0,27452.21,0.041530876985542475,0.0,0.011589312926447048,0.04153154755372901,0.0,0.012636357879830529,0.04153107204753659,0.0,0.019570445155759453,0.04153207972549855,0.0,0.01931644090037188,0.3984307859846623,0.18465528688068544,0.23907598835633093,0.39843178431106874,0.18465458171522142,0.24417417086081095,0.3984293555730487,0.18465421377624525,0.27875406934479585,0.3984305158652741,0.19097222222222232,0.2813059213504856
2021-02-01,6569.29,17016.56,23585.85,8482.49,19447.5,27929.99,10803.47,12154.68,22958.16,13401.75,15414.0,28815.75,0.02725249843237143,0.0727188139458943,0.059655773669098355,0.027251721473673607,0.07271930966465079,0.05849062896270918,0.027252430858640153,0.07271912111498668,0.05083260899714803,0.027252359114256164,0.06997084548104948,0.049669589442890016,0.42186884493677734,0.27080201427738215,0.309553818306997,0.42186719501687975,0.27080184508861804,0.31317401278006063,0.4218665480403627,0.2708012270272193,0.3376799763673135,0.4218669433640376,0.2743055555555556,0.3389310018929943
