periodo,IS_sector_privado_registrado,IS_sector_publico,IS_total_registrado,IS_sector_no_registrado,IS_indice_total,var_im_IS_sector_privado_registrado,var_im_IS_sector_publico,var_im_IS_total_registrado,var_im_IS_sector_no_registrado,var_im_IS_indice_total,var_ia_IS_sector_privado_registrado,var_ia_IS_sector_publico,var_ia_IS_total_registrado,var_ia_IS_sector_no_registrado,var_ia_IS_indice_total
2016-10-01,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,101.8,101.22,101.58,100.73,101.41,0.018000000000000016,0.012199999999999989,0.015800000000000036,0.007300000000000084,0.014100000000000001,0.0,0.0,0.0,0.0,0.0
2016-12-01,102.89,102.37,102.69,103.2,102.79,0.010707269155206367,0.011361391029440782,0.010927347903130435,0.0245209967239155,0.013608125431417095,0.0,0.0,0.0,0.0,0.0
2017-01-01,106.34,102.68,104.98,102.0,104.38,0.03353095538925066,0.0030282309270295293,0.02230012659460523,-0.011627906976744207,0.015468430781204301,0.0,0.0,0.0,0.0,0.0
2017-02-01,107.69,103.08,105.97,104.94,105.76,0.012695128832048042,0.0038955979742889557,0.009430367689083674,0.028823529411764692,0.013220923548572516,0.0,0.0,0.0,0.0,0.0
2017-03-01,109.26,107.24,108.5,110.08,108.82,0.014578883833225031,0.040357004268529284,0.02387468151363592,0.04898036973508679,0.028933434190620222,0.0,0.0,0.0,0.0,0.0
2017-04-01,112.93,110.81,112.14,114.61,112.63,0.03358960278235412,0.03328981723237612,0.0335483870967741,0.04115188953488369,0.03501194633339466,0.0,0.0,0.0,0.0,0.0
2017-05-01,115.18,112.28,114.09,115.79,114.43,0.01992384663065616,0.013265950726468745,0.01738897806313533,0.010295785708053451,0.01598153245138967,0.0,0.0,0.0,0.0,0.0
2017-06-01,117.23,115.3,116.51,116.24,116.45,0.017798228859176923,0.026897043106519414,0.02121132439302298,0.00388634597115467,0.01765271344927033,0.0,0.0,0.0,0.0,0.0
2017-07-01,122.8,118.49,121.19,120.74,121.1,0.04751343512752704,0.02766695576756284,0.04016822590335578,0.038713007570543745,0.03993130098754816,0.0,0.0,0.0,0.0,0.0
2017-08-01,124.55,121.54,123.43,126.06,123.95,0.014250814332247508,0.025740568824373478,0.018483373215611998,0.04406162000993885,0.02353426919900925,0.0,0.0,0.0,0.0,0.0
2017-09-01,126.0,123.89,125.21,127.7,125.71,0.011641910879164996,0.019335198288629174,0.014421129385076448,0.013009677931143937,0.014199273900766363,0.0,0.0,0.0,0.0,0.0
2017-10-01,128.23,126.03,127.4,128.5,127.62,0.017698412698412547,0.017273387682621655,0.01749061576551414,0.006264682850430692,0.015193699785220005,0.2823,0.2603,0.274,0.2849999999999999,0.2762
2017-11-01,130.04,127.32,129.03,131.95,129.61,0.014115261639241927,0.01023565817662453,0.012794348508634146,0.02684824902723726,0.015593167215170123,0.2774066797642436,0.2578541790160047,0.2702303603071472,0.3099374565670603,0.2780790849028698
2017-12-01,131.01,127.94,129.86,135.71,131.03,0.007459243309750896,0.004869619855482288,0.006432612570720142,0.028495642288745904,0.010955944757348846,0.273301584216153,0.2497802090456187,0.2645827247054242,0.3150193798449612,0.2747348963906995
2018-01-01,133.25,128.45,131.46,136.57,132.48,0.017097931455614113,0.003986243551664881,0.012320961034960609,0.006337042222385847,0.011066168053117442,0.2530562347188263,0.25097389949357196,0.2522385216231664,0.33892156862745093,0.26920866066296223
2018-02-01,134.31,129.32,132.44,138.19,133.59,0.007954971857411008,0.006773063448812788,0.007454739084131967,0.01186204876620045,0.008378623188405987,0.247191011235955,0.2545595653861079,0.24978767575728988,0.3168477225080999,0.2631429652042361
2018-03-01,136.23,132.97,135.01,140.7,136.14,0.014295287022559666,0.028224559232910673,0.01940501359105995,0.018163398219842142,0.01908825510891532,0.24684239428885202,0.23992913092129808,0.24433179723502296,0.27816133720930214,0.2510567910310604
2018-04-01,141.01,135.01,138.77,144.0,139.81,0.03508771929824572,0.01534180642250127,0.02784978890452572,0.023454157782516027,0.02695754370500958,0.24864960595058871,0.21839184189152583,0.23747101836989493,0.2564348660675333,0.2413211400159816
2018-05-01,144.47,137.16,141.74,142.73,141.93,0.02453726686050639,0.01592474631508778,0.021402320386250562,-0.00881944444444449,0.0151634360918389,0.2542976211147767,0.22158888493053075,0.24235252870540802,0.2326625788064598,0.24032159398759068
2018-06-01,146.47,138.97,143.67,141.02,143.14,0.01384370457534434,0.013196267133275041,0.013616480880485282,-0.011980662789882857,0.0085253293877261,0.24942420882026783,0.20529054640069377,0.2331130375075099,0.2131796283551275,0.22919708029197072
