periodo,cuyo,gba,nacional,noreste,noroeste,pampeana,patagonia,var_im_gba,var_im_pampeana,var_im_noreste,var_im_noroeste,var_im_cuyo,var_im_patagonia,var_im_nacional,var_ia_gba,var_ia_pampeana,var_ia_noreste,var_ia_noroeste,var_ia_cuyo,var_ia_patagonia,var_ia_nacional
2016-12-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,101.7074,101.313,101.5859,101.6727,101.6014,101.7874,102.5593,0.013130000000000086,0.017873999999999945,0.01672700000000016,0.016013999999999973,0.017074000000000034,0.025592999999999977,0.015858999999999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,103.2652,103.8085,103.6859,103.4617,103.7115,103.5312,104.2827,0.024631587259285492,0.017131786449010367,0.017595677108997565,0.02076841460846013,0.015316486312696886,0.016803936844342893,0.020672160211210544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,105.9238,106.2627,106.1476,105.988,107.055,105.8173,106.5167,0.023641609309449585,0.02208126632358165,0.024417731392389674,0.03223846921508233,0.025745362426064178,0.02142253700757646,0.023741897403600554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,109.4506,109.0613,108.9667,108.3473,109.9626,108.6912,108.6517,0.02633661670557963,0.02715907512287674,0.022260067177416465,0.027159871094297294,0.033295633275996384,0.02004380533756689,0.026558301836310916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,111.3091,110.4607,110.5301,110.4331,111.636,110.3005,110.4897,0.012831315966341794,0.014806166460578307,0.01925105655609305,0.015217901359189323,0.016980263242047267,0.0169164403318125,0.014347502493881281,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,112.4298,111.9943,111.8477,111.9403,112.6924,111.4058,111.7051,0.013883670844019536,0.010020806795980164,0.0136480819609337,0.00946289727328109,0.010068359190757992,0.011000120373211297,0.011920734713892323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,114.0184,113.9199,113.7852,113.3741,114.2857,113.5783,113.3785,0.017193732181012722,0.01950078003120126,0.012808613162551774,0.014138486712502285,0.014129705825323802,0.014980515661326077,0.017322662871029015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,115.5674,115.6031,115.3819,114.6809,115.7385,115.0905,115.3036,0.014775293868762196,0.013314163004728874,0.011526442106265744,0.0127120015890001,0.013585526546592508,0.01697940967643774,0.014032580687119323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,117.5777,117.9656,117.5719,116.1702,117.7781,117.2947,116.7945,0.020436303178720916,0.01915188482107566,0.012986469412081592,0.01762248517131293,0.01739504393107394,0.012930212066232016,0.01898044667317844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,119.5964,119.4985,119.3528,117.9026,119.9939,119.272,118.7072,0.012994466183362086,0.016857539172699276,0.014912602371348394,0.01881334475594354,0.017169072026413268,0.016376627324060644,0.015147326869770827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,121.4671,120.8941,120.994,119.696,121.506,121.2004,120.4376,0.01167880768377838,0.01616808639077072,0.0152108604899297,0.012601473908256944,0.015641775170490035,0.014577043346991614,0.013750829473627713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
