periodo,linea_de_indigencia,inversa_coef_engel,linea_de_pobreza,var_im_linea_de_indigencia,var_im_inversa_coef_engel,var_im_linea_de_pobreza,var_ia_linea_de_indigencia,var_ia_inversa_coef_engel,var_ia_linea_de_pobreza
2016-04-01,1514.53,2.42,3663.66,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,1561.35,2.45,3830.77,0.03091388087393443,0.012396694214876103,0.04561285708826701,0.0,0.0,0.0
2016-06-01,1614.32,2.44,3942.67,0.03392576936625358,-0.004081632653061273,0.029210837507863907,0.0,0.0,0.0
2016-07-01,1666.48,2.42,4033.76,0.03231081817731307,-0.008196721311475419,0.023103632817354836,0.0,0.0,0.0
2016-08-01,1675.05,2.41,4041.87,0.005142575968508423,-0.004132231404958553,0.002010531117369263,0.0,0.0,0.0
2016-09-01,1711.22,2.39,4089.82,0.021593385272081544,-0.008298755186721962,0.01186332069067042,0.0,0.0,0.0
2016-10-01,1739.34,2.41,4191.81,0.01643272051518796,0.008368200836819994,0.024937527812959992,0.0,0.0,0.0
2016-11-01,1762.65,2.41,4247.99,0.01340163510297021,0.0,0.013402325009959748,0.0,0.0,0.0
2016-12-01,1766.62,2.41,4257.55,0.002252290585198269,0.0,0.0022504761075239355,0.0,0.0,0.0
2017-01-01,1789.15,2.41,4311.85,0.01275316706479046,0.0,0.012753813813108472,0.0,0.0,0.0
2017-02-01,1821.02,2.43,4425.08,0.017812927926668998,0.008298755186721962,0.02626018994167234,0.0,0.0,0.0
2017-03-01,1876.56,2.43,4560.04,0.03049939045150518,0.0,0.03049888363600206,0.0,0.0,0.0
2017-04-01,1915.47,2.45,4692.9,0.020734748689090754,0.008230452674897082,0.029135709335883053,0.2647289918324498,0.012396694214876103,0.28093218257152675
2017-05-01,1937.24,2.45,4746.24,0.011365356805379312,0.0,0.01136610624560519,0.2407467896371731,0.0,0.2389780644622359
2017-06-01,1956.42,2.45,4793.23,0.009900683446552927,0.0,0.009900468581445443,0.21191585311462413,0.004098360655737876,0.21573197858304138
2017-07-01,1984.64,2.45,4862.37,0.014424305619447741,0.0,0.014424511237725035,0.19091738274686776,0.012396694214876103,0.2054187656181825
2017-08-01,2021.98,2.44,4933.63,0.018814495324088965,-0.004081632653061273,0.014655404668916683,0.20711620548640353,0.012448132780082943,0.22063054972079765
2017-09-01,2049.39,2.44,5000.51,0.013556019347372272,0.0,0.013555941568378582,0.19761924241184636,0.02092050209205021,0.2226723914499904
