periodo,nivel_general,productos_alimenticios_y_bebidas,productos_del_tabaco,productos_textiles,papel_y_carton,edicion_e_impresion,refinacion_del_petroleo,sustancias_y_productos_quimicos,productos_de_caucho_y_plastico,productos_minerales_no_metalicos,industrias_metalicas_basicas,industria_automotriz,metalmecanica_excluida_industria_automotriz,var_im_nivel_general,var_im_productos_alimenticios_y_bebidas,var_im_productos_del_tabaco,var_im_productos_textiles,var_im_papel_y_carton,var_im_edicion_e_impresion,var_im_refinacion_del_petroleo,var_im_sustancias_y_productos_quimicos,var_im_productos_de_caucho_y_plastico,var_im_productos_minerales_no_metalicos,var_im_industrias_metalicas_basicas,var_im_industria_automotriz,var_im_metalmecanica_excluida_industria_automotriz,var_ia_nivel_general,var_ia_productos_alimenticios_y_bebidas,var_ia_productos_del_tabaco,var_ia_productos_textiles,var_ia_papel_y_carton,var_ia_edicion_e_impresion,var_ia_refinacion_del_petroleo,var_ia_sustancias_y_productos_quimicos,var_ia_productos_de_caucho_y_plastico,var_ia_productos_minerales_no_metalicos,var_ia_industrias_metalicas_basicas,var_ia_industria_automotriz,var_ia_metalmecanica_excluida_industria_automotriz
2016-11-01,68.4,69.0,73.3,58.8,88.2,58.9,83.2,74.3,62.6,72.2,71.6,56.3,57.2,0.04587155963302747,0.05022831050228316,0.28596491228070176,-0.003389830508474634,0.0255813953488373,-0.021594684385382146,-0.01538461538461533,0.056899004267425335,0.18560606060606077,0.021216407355021172,-0.016483516483516536,0.27664399092970515,0.026929982046678624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,63.6,66.9,75.5,48.9,76.7,58.6,84.4,65.1,62.9,69.6,62.8,45.0,54.7,-0.07017543859649134,-0.030434782608695587,0.030013642564802323,-0.16836734693877553,-0.13038548752834467,-0.005093378607809784,0.014423076923076872,-0.1238223418573352,0.004792332268370503,-0.03601108033241007,-0.12290502793296088,-0.20071047957371224,-0.04370629370629375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,60.6,65.1,80.3,57.5,80.0,54.0,85.0,68.5,58.5,53.3,58.4,30.7,47.3,-0.047169811320754707,-0.026905829596412745,0.06357615894039736,0.17586912065439675,0.0430247718383312,-0.07849829351535842,0.007109004739336511,0.05222734254992334,-0.06995230524642282,-0.2341954022988506,-0.07006369426751591,-0.3177777777777778,-0.13528336380255956,-0.0365659777424483,-0.04963503649635048,-0.042908224076281365,-0.14050822122571005,-0.05213270142180104,-0.07375643224699824,-0.001175088131609825,0.036308623298033416,-0.005102040816326481,-0.15664556962025322,-0.10429447852760743,0.5049019607843137,-0.09386973180076641
2017-02-01,60.0,62.4,78.3,53.9,85.0,47.6,81.6,68.8,54.1,68.7,65.7,31.5,42.1,-0.00990099009900991,-0.041474654377880116,-0.02490660024906599,-0.06260869565217397,0.0625,-0.11851851851851847,-0.040000000000000036,0.004379562043795637,-0.07521367521367517,0.2889305816135086,0.125,0.026058631921824116,-0.10993657505285404,-0.06542056074766356,-0.06586826347305386,-0.03690036900369009,-0.25346260387811637,0.07594936708860756,-0.11194029850746268,-0.05990783410138256,0.029940119760478945,0.009328358208955168,-0.06019151846785209,-0.07072135785007072,-0.26914153132250584,-0.1761252446183953
2017-03-01,65.7,70.2,76.0,57.3,87.7,55.5,79.9,67.3,55.0,75.6,75.6,48.2,50.5,0.09499999999999997,0.125,-0.02937420178799488,0.06307977736549164,0.03176470588235292,0.1659663865546217,-0.02083333333333315,-0.021802325581395388,0.01663585951940849,0.10043668122270732,0.15068493150684925,0.5301587301587303,0.1995249406175772,0.013888888888889062,0.044642857142857206,-0.09631391200951245,-0.2204081632653062,0.07739557739557745,0.009090909090909038,-0.04196642685851315,0.015082956259426794,-0.02135231316725983,0.0026525198938991412,0.18867924528301883,-0.13153153153153152,-0.048964218455743946
2017-04-01,64.5,64.3,62.4,54.9,79.6,56.0,82.4,68.6,57.9,71.0,73.6,46.5,54.5,-0.0182648401826484,-0.08404558404558415,-0.17894736842105263,-0.041884816753926635,-0.09236031927023958,0.009009009009008917,0.031289111389236623,0.019316493313521477,0.052727272727272734,-0.060846560846560815,-0.02645502645502651,-0.03526970954356856,0.07920792079207928,-0.004629629629629539,0.012598425196850283,-0.23341523341523351,-0.2620967741935485,-0.05011933174224348,-0.042735042735042694,0.004878048780487809,0.010309278350515205,-0.038205980066445266,-0.05835543766578255,0.12883435582822078,-0.14835164835164838,0.02443609022556381
2017-05-01,65.8,65.0,71.7,61.4,71.8,54.6,80.6,66.9,64.0,72.4,75.2,54.5,58.8,0.020155038759689825,0.010886469673405896,0.14903846153846168,0.11839708561020035,-0.09798994974874364,-0.025000000000000022,-0.02184466019417486,-0.024781341107871557,0.10535405872193437,0.019718309859154903,0.021739130434782705,0.17204301075268824,0.07889908256880718,0.012307692307692353,0.007751937984496138,-0.09240506329113918,-0.16234652114597548,-0.03753351206434308,-0.1063829787234043,-0.00370828182941918,0.024502297090352343,0.0596026490066226,-0.006858710562414272,0.023129251700680253,0.1473684210526316,0.050000000000000044
2017-06-01,67.1,64.3,76.1,66.2,77.0,63.1,86.4,67.5,65.8,76.7,73.7,55.0,58.6,0.019756838905774954,-0.010769230769230864,0.06136680613668055,0.07817589576547235,0.07242339832869082,0.15567765567765557,0.0719602977667495,0.008968609865470656,0.028124999999999956,0.05939226519337004,-0.019946808510638347,0.00917431192660545,-0.00340136054421758,0.03389830508474567,0.02551834130781483,0.10130246020260492,-0.10419485791610283,-0.025316455696202556,0.07130730050933787,0.0034843205574914826,0.04489164086687314,0.06129032258064515,0.07272727272727275,0.005457025920873271,0.08481262327416172,0.06934306569343063
2017-07-01,65.1,63.9,83.1,65.5,81.6,59.1,84.4,59.1,65.0,72.3,75.9,45.5,59.2,-0.02980625931445602,-0.0062208398133747345,0.09198423127463862,-0.010574018126888296,0.05974025974025965,-0.06339144215530901,-0.02314814814814814,-0.12444444444444447,-0.012158054711246202,-0.057366362451108266,0.029850746268656803,-0.17272727272727273,0.010238907849829282,0.04999999999999982,0.03565640194489461,0.14148351648351642,-0.0890125173852574,-0.026252983293556076,0.08839779005524862,-0.0011834319526626835,-0.024752475247524774,0.11683848797250862,0.08885542168674676,0.10802919708029202,0.011111111111111072,0.1585127201565557
2017-08-01,67.3,65.9,77.0,69.1,88.0,54.1,85.3,62.3,60.1,77.1,79.5,55.1,61.1,0.03379416282642089,0.031298904538341166,-0.07340553549939821,0.05496183206106853,0.07843137254901977,-0.08460236886632821,0.010663507109004655,0.05414551607444995,-0.07538461538461538,0.06639004149377592,0.04743083003952564,0.21098901098901113,0.03209459459459452,0.05817610062893075,-0.03654970760233922,0.049046321525885395,-0.06621621621621632,-0.04139433551198257,0.044401544401544424,0.06359102244389025,0.05414551607444995,0.06183745583038869,0.05471956224350216,0.1936936936936937,0.07198443579766534,0.193359375
