Year,Holiday,Cumulative Gross,Releases,#1_Release,#1_Gross
1993,New Year's Eve,1148611.0,3.0,Batman: Mask of the Phantasm,469816.0
1993,Christmas Day,1253992.0,3.0,Batman: Mask of the Phantasm,557134.0
1993,Post-Thanksgiving Weekend,43373593.0,15.0,Mrs. Doubtfire,14735459.0
1993,Thanksgiving Weekend,76914103.0,19.0,Mrs. Doubtfire,20468847.0
1993,Thanksgiving 4-Day Weekend,2209920.0,1.0,Jurassic Park,2209920.0
1993,Thanksgiving,354200.0,1.0,Jurassic Park,354200.0
1993,Thanksgiving 5-Day Weekend,2502520.0,1.0,Jurassic Park,2502520.0
1993,Halloween,131600.0,1.0,Jurassic Park,131600.0
1993,Indigenous People's Day,112015.0,1.0,Jurassic Park,112015.0
1993,Indigenous People's Day Weekend,68852609.0,17.0,Demolition Man,15973850.0
1993,Labor Day,1511447.0,2.0,Jurassic Park,908825.0
1993,Labor Day Weekend,67578289.0,20.0,The Fugitive,17239413.0
1993,Independence Day,6736202.0,5.0,Jurassic Park,4829760.0
1993,Independence Day Weekend,121647503.0,15.0,The Firm,32476785.0
1993,Memorial Day,4870324.0,5.0,Cliffhanger,4281055.0
1993,Memorial Day Weekend,84030468.0,17.0,Cliffhanger,20458022.0
1993,Easter,1060413.0,4.0,Unforgiven,446021.0
1993,Easter Weekend,5333567.0,4.0,Unforgiven,2183015.0
1993,President's Day,2946003.0,4.0,Groundhog Day,2134436.0
1993,President's Day Weekend,73301759.0,20.0,Groundhog Day,14652108.0
1993,MLK Day,1867083.0,4.0,A Few Good Men,975738.0
1993,MLK Day Weekend,75051860.0,22.0,Aladdin,10920346.0
1993,New Year's Day,6276076.0,3.0,A Few Good Men,5047556.0
1994,New Year's Eve,3511446.0,2.0,Little Women,2001126.0
1994,Christmas Day,4571627.0,2.0,Street Fighter,2339425.0
1994,Christmas Weekend,85028950.0,25.0,Dumb and Dumber,15586425.0
1994,Post-Thanksgiving Weekend,48322082.0,14.0,The Santa Clause,11390638.0
1994,Thanksgiving Weekend,94569390.0,20.0,The Santa Clause,20437607.0
1994,Thanksgiving 4-Day Weekend,0.0,,-,0.0
1994,Thanksgiving,0.0,,-,0.0
1994,Thanksgiving 5-Day Weekend,0.0,,-,0.0
1994,Indigenous People's Day,40905.0,2.0,The Flintstones,20895.0
1994,Indigenous People's Day Weekend,475385.0,2.0,Jurassic Park,303250.0
1994,Labor Day,315195.0,2.0,Jurassic Park,163815.0
1994,Labor Day Weekend,84416885.0,23.0,Forrest Gump,12221147.0
1994,Independence Day,785665.0,2.0,The Flintstones,731250.0
1994,Independence Day Weekend,107418100.0,14.0,The Lion King,34208876.0
1994,Memorial Day,10469390.0,3.0,The Flintstones,7494015.0
1994,Memorial Day Weekend,94461460.0,14.0,The Flintstones,37182745.0
1994,Easter,1040370.0,3.0,Schindler's List,905210.0
1994,Easter Weekend,4758935.0,3.0,Schindler's List,4208195.0
1994,President's Day,1717400.0,3.0,Reality Bites,890475.0
1994,President's Day Weekend,80436192.0,19.0,On Deadly Ground,12679573.0
1994,MLK Day,565016.0,3.0,Schindler's List,453600.0
1994,MLK Day Weekend,78211652.0,25.0,Philadelphia,13817010.0
1994,New Year's Day,1463886.0,3.0,Schindler's List,618175.0
1994,New Year Weekend,105186264.0,22.0,Dumb and Dumber,14929291.0
1995,New Year's Eve,4089216.0,1.0,Toy Story,4089216.0
1995,Christmas Day,2255251.0,1.0,Toy Story,2255251.0
1995,Christmas Weekend,91218984.0,23.0,Waiting to Exhale,14126927.0
1995,Post-Thanksgiving Weekend,61341785.0,14.0,Toy Story,20164662.0
1995,Thanksgiving Weekend,107060403.0,16.0,Toy Story,29140617.0
1995,Thanksgiving 4-Day Weekend,34406554.0,2.0,Toy Story,34265779.0
1995,Thanksgiving,5152222.0,2.0,Toy Story,5125162.0
1995,Thanksgiving 5-Day Weekend,39232451.0,2.0,Toy Story,39071176.0
1995,Halloween,50063.0,2.0,Apollo 13,41325.0
1995,Indigenous People's Day,47925.0,2.0,Apollo 13,37260.0
1995,Indigenous People's Day Weekend,514949.0,2.0,Apollo 13,377240.0
1995,Labor Day,1041951.0,3.0,Apollo 13,551950.0
1995,Labor Day Weekend,72389776.0,23.0,Mortal Kombat,8288323.0
1995,Independence Day,9728247.0,4.0,Apollo 13,6052735.0
1995,Independence Day Weekend,65330300.0,4.0,Apollo 13,38469470.0
1995,Memorial Day,9777236.0,4.0,Casper,5251590.0
1995,Memorial Day Weekend,107675040.0,16.0,Casper,22091975.0
1995,Easter,3325383.0,1.0,Bad Boys,3325383.0
1995,Easter Weekend,12420473.0,1.0,Bad Boys,12420473.0
1995,President's Day,79630.0,1.0,Street Fighter,79630.0
1995,President's Day Weekend,67231731.0,20.0,The Brady Bunch Movie,14827066.0
1995,MLK Day,1221073.0,2.0,Little Women,911393.0
1995,MLK Day Weekend,97573191.0,20.0,Legends of the Fall,14038128.0
1995,New Year's Day,4306250.0,2.0,Little Women,2292490.0
1995,New Year Weekend,136810057.0,26.0,Toy Story,19395010.0
1996,New Year's Eve,2942562.0,3.0,Jerry Maguire,2879210.0
1996,Christmas Day,3176071.0,3.0,Jerry Maguire,3103856.0
1996,Post-Thanksgiving Weekend,55039211.0,18.0,101 Dalmatians,13944053.0
1996,Thanksgiving Weekend,108128486.0,18.0,101 Dalmatians,33504025.0
1996,Thanksgiving 4-Day Weekend,359384.0,1.0,Independence Day,359384.0
1996,Thanksgiving,64102.0,1.0,Independence Day,64102.0
1996,Thanksgiving 5-Day Weekend,410864.0,1.0,Independence Day,410864.0
1996,Halloween,115176.0,1.0,Independence Day,115176.0
1996,Indigenous People's Day,143074.0,1.0,Independence Day,143074.0
1996,Indigenous People's Day Weekend,1439753.0,1.0,Independence Day,1439753.0
1996,Labor Day,1170304.0,1.0,Independence Day,1170304.0
1996,Labor Day Weekend,80584172.0,24.0,The Crow: City of Angels,9785111.0
1996,Independence Day,19913084.0,4.0,Independence Day,17343388.0
1996,Memorial Day,19696048.0,2.0,Mission: Impossible,11374772.0
1996,Memorial Day Weekend,123202152.0,13.0,Mission: Impossible,56811602.0
1996,Easter,0.0,,-,0.0
1996,Easter Weekend,0.0,,-,0.0
1996,President's Day,1446128.0,2.0,City Hall,1061648.0
1996,President's Day Weekend,88968608.0,27.0,Broken Arrow,13459777.0
1996,MLK Day,1496048.0,1.0,Toy Story,1496048.0
1996,MLK Day Weekend,102682702.0,23.0,12 Monkeys,11501140.0
1996,New Year's Day,3806234.0,1.0,Toy Story,3806234.0
1997,New Year's Eve,15185045.0,7.0,Titanic,8213735.0
1997,Christmas Day,25700077.0,14.0,Titanic,9178529.0
1997,Post-Thanksgiving Weekend,44531634.0,15.0,Flubber,11292933.0
1997,Thanksgiving Weekend,103938065.0,19.0,Flubber,26725207.0
1997,Thanksgiving 4-Day Weekend,7574342.0,4.0,Starship Troopers,3419211.0
1997,Thanksgiving,1175457.0,4.0,Starship Troopers,665774.0
1997,Thanksgiving 5-Day Weekend,8445232.0,4.0,Starship Troopers,3942054.0
1997,Halloween,1950955.0,4.0,The Devil's Advocate,1530906.0
1997,Indigenous People's Day,635505.0,5.0,The Peacemaker,539429.0
1997,Indigenous People's Day Weekend,6692408.0,5.0,The Peacemaker,5748075.0
1997,Labor Day,2840608.0,5.0,Air Force One,1835743.0
1997,Labor Day Weekend,87553350.0,24.0,G.I. Jane,10282285.0
1997,Independence Day,19640271.0,6.0,Men in Black,15722315.0
1997,Memorial Day,20320301.0,4.0,The Lost World: Jurassic Park,18029095.0
1997,Memorial Day Weekend,140728067.0,18.0,The Lost World: Jurassic Park,90161880.0
1997,Easter,6984577.0,3.0,Liar Liar,6476310.0
1997,Easter Weekend,30951657.0,3.0,Liar Liar,28726185.0
1997,President's Day,8043287.0,5.0,Star Wars: Episode IV - A New Hope1997 Special Edition,3831315.0
1997,President's Day Weekend,116551323.0,29.0,Star Wars: Episode IV - A New Hope1997 Special Edition,21370589.0
1997,MLK Day,2329341.0,2.0,Evita,1389175.0
1997,MLK Day Weekend,93618559.0,21.0,Beverly Hills Ninja,12220920.0
1997,New Year's Day,3872395.0,3.0,Jerry Maguire,3462509.0
1998,New Year's Eve,21013038.0,6.0,Patch Adams,6142680.0
1998,Christmas Day,32813178.0,8.0,Patch Adams,8081760.0
1998,Post-Thanksgiving Weekend,66387194.0,19.0,A Bug's Life,17174218.0
1998,Thanksgiving Weekend,125578859.0,19.0,A Bug's Life,33258052.0
1998,Thanksgiving 4-Day Weekend,41673088.0,2.0,A Bug's Life,40585387.0
