Release,Studio,Release_Cinema,Release_Digital_Streaming,BOM_Link
Logan,Fox,2017-03-03,2017-05-23,https://www.boxofficemojo.com/release/rl3229320705/?ref_=bo_fr_table_5
Deadpool 2,Fox,2018-05-18,2018-08-21,https://www.boxofficemojo.com/release/rl2488436225/?ref_=bo_fr_table_2
X-Men: Dark Phoenix,Fox,2019-06-07,2019-09-17,https://www.boxofficemojo.com/release/rl4211181057/?ref_=bo_fr_table_12
The New Mutants,Fox,2020-08-28,2020-11-17,https://www.boxofficemojo.com/release/rl1098876417/?ref_=bo_fr_table_13
The Dark Knight,DC,2008-07-18,2008-12-09,https://www.boxofficemojo.com/release/rl3729098241/?ref_=bo_fr_table_1
Watchmen,DC,2009-03-06,2009-07-21,https://www.boxofficemojo.com/title/tt0409459/
Green Lantern,DC,2011-06-17,2011-10-14,https://www.boxofficemojo.com/release/rl1280804353/
The Dark Knight Rises,DC,2012-07-20,2012-12-04,https://www.boxofficemojo.com/release/rl3745875457/?ref_=bo_fr_table_2
Man of Steel,DC,2013-06-14,2013-11-12,https://www.boxofficemojo.com/release/rl4034037249/?ref_=bo_fr_table_5
Batman v Superman: Dawn of Justice,DC,2016-03-25,2016-07-19,https://www.boxofficemojo.com/release/rl2238875137/?ref_=bo_fr_table_3
Suicide Squad,DC,2016-08-05,2016-12-13,https://www.boxofficemojo.com/release/rl1145865729/?ref_=bo_fr_table_4
Wonder Woman,DC,2017-06-02,2017-09-19,https://www.boxofficemojo.com/release/rl578455041/?ref_=bo_fr_table_1
Justice League,DC,2017-11-17,2018-03-13,https://www.boxofficemojo.com/release/rl1129088513/?ref_=bo_fr_table_6
Aquaman,DC,2018-12-21,2019-03-26,https://www.boxofficemojo.com/release/rl3108800001/?ref_=bo_fr_table_2
Shazam!,DC,2019-04-05,2019-07-16,https://www.boxofficemojo.com/release/rl1196197377/?ref_=bo_fr_table_8
Joker,DC,2019-10-04,2019-12-17,https://www.boxofficemojo.com/release/rl252151297/?ref_=bo_fr_table_1
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,DC,2020-02-07,2020-05-12,https://www.boxofficemojo.com/release/rl3640886785/?ref_=bo_fr_table_11
Wonder Woman 1984,DC,2020-12-25,2020-12-25,https://www.boxofficemojo.com/release/rl3624109569/?ref_=bo_fr_table_15
The Suicide Squad,DC,2021-08-05,2021-09-13,https://www.boxofficemojo.com/release/rl84510209/?ref_=bo_fr_table_14
The Batman,DC,2022-03-04,2022-05-24,https://www.boxofficemojo.com/release/rl67732993/?ref_=bo_fr_table_3
Black Adam,DC,2022-10-21,2023-01-03,https://www.boxofficemojo.com/release/rl2728624641/?ref_=bo_fr_table_7
Shazam! Fury of the Gods,DC,2023-03-17,2023-05-23,https://www.boxofficemojo.com/release/rl162234881/?ref_=bo_fr_table_13
The Flash,DC,2023-06-16,2023-08-29,https://www.boxofficemojo.com/release/rl2225635841/?ref_=bo_fr_table_10
Blue Beetle,DC,2023-08-18,2023-10-31,https://www.boxofficemojo.com/release/rl3693445889/?ref_=bo_fr_table_12
Aquaman and the Lost Kingdom,DC,2023-12-22,2024-02-01,https://www.boxofficemojo.com/release/rl3003745793/?ref_=bo_fr_table_9
Joker: Folie à Deux,DC,2024-10-04,2024-12-13,https://www.boxofficemojo.com/release/rl2339995649/
Spider-Man,Sony,2002-05-03,2002-11-11,https://www.boxofficemojo.com/release/rl678659585/?ref_=bo_fr_table_2
Spider-Man 2,Sony,2004-06-30,2004-11-30,https://www.boxofficemojo.com/release/rl896763393/?ref_=bo_fr_table_4
Spider-Man 3,Sony,2007-05-04,2007-10-30,https://www.boxofficemojo.com/release/rl913540609/?ref_=bo_fr_table_5
The Amazing Spider-Man,Sony,2012-07-03,2012-11-09,https://www.boxofficemojo.com/release/rl930317825/?ref_=bo_fr_table_7
The Amazing Spider-Man 2,Sony,2014-05-02,2014-08-19,https://www.boxofficemojo.com/release/rl846431745/?ref_=bo_fr_table_8
Blade,New Line Cinema,1998-08-21,1998-12-22,https://www.boxofficemojo.com/release/rl2403829249/
Blade II,New Line Cinema,2002-03-22,2002-09-10,https://www.boxofficemojo.com/release/rl2152171009/?ref_=bo_fr_table_1
Blade: Trinity,New Line Cinema,2004-12-08,2005-04-26,https://www.boxofficemojo.com/release/rl2168948225/?ref_=bo_fr_table_3
Fantastic Four,Fox,2005-07-08,2005-12-06,https://www.boxofficemojo.com/release/rl3662710273/
Fantastic Four: Rise of the Silver Surfer,Fox,2007-06-15,2007-12-04,https://www.boxofficemojo.com/release/rl3679487489/?ref_=bo_fr_table_3
X-Men,Fox,2000-07-14,2000-11-21,https://www.boxofficemojo.com/release/rl1383761409/?ref_=bo_fr_table_8
X2: X-Men United,Fox,2003-05-02,2003-11-25,https://www.boxofficemojo.com/release/rl1736082945/?ref_=bo_fr_table_6
X-Men: The Last Stand,Fox,2006-05-26,2006-10-03,https://www.boxofficemojo.com/release/rl1484424705/?ref_=bo_fr_table_3
