Release,Studio,Release_Cinema,Release_Digital_Streaming,DOW,Rank,Daily,Theaters,Day
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,1,3500000.0,2500,0
Iron Man,MCU,2008-05-02,2008-09-30,Friday,1,35234361.0,4105,1
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,1,37350099.0,4105,2
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,1,26034208.0,4105,3
Iron Man,MCU,2008-05-02,2008-09-30,Monday,1,6934568.0,4105,4
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,1,6505784.0,4105,5
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,1,5747344.0,4105,6
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,1,5328031.0,4105,7
Iron Man,MCU,2008-05-02,2008-09-30,Friday,1,14873192.0,4111,8
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,1,21374629.0,4111,9
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,1,14942808.0,4111,10
Iron Man,MCU,2008-05-02,2008-09-30,Monday,1,3850844.0,4111,11
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,1,3357146.0,4111,12
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,1,3082988.0,4111,13
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,1,3169387.0,4111,14
Iron Man,MCU,2008-05-02,2008-09-30,Friday,2,8659239.0,4154,15
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,2,13431355.0,4154,16
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,2,9748402.0,4154,17
Iron Man,MCU,2008-05-02,2008-09-30,Monday,2,3072182.0,4154,18
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,2,2219928.0,4154,19
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,2,1926258.0,4154,20
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,3,1824663.0,4154,21
Iron Man,MCU,2008-05-02,2008-09-30,Friday,3,5437126.0,3915,22
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,3,7898842.0,3915,23
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,3,7111285.0,3915,24
Iron Man,MCU,2008-05-02,2008-09-30,Monday,3,5663877.0,3915,25
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,3,1561073.0,3915,26
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,3,1395588.0,3915,27
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,3,1389865.0,3915,28
Iron Man,MCU,2008-05-02,2008-09-30,Friday,4,3783237.0,3650,29
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,4,6068126.0,3650,30
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,4,3689901.0,3650,31
Iron Man,MCU,2008-05-02,2008-09-30,Monday,4,1230719.0,3650,32
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,4,1336009.0,3650,33
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,4,1312678.0,3650,34
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,4,1324459.0,3650,35
Iron Man,MCU,2008-05-02,2008-09-30,Friday,6,2187329.0,2931,36
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,6,3164558.0,2931,37
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,6,2125552.0,2931,38
Iron Man,MCU,2008-05-02,2008-09-30,Monday,6,893971.0,2931,39
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,6,859778.0,2931,40
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,6,857937.0,2931,41
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,6,838628.0,2931,42
Iron Man,MCU,2008-05-02,2008-09-30,Friday,8,1466126.0,2403,43
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,7,2119187.0,2403,44
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,7,2035062.0,2403,45
Iron Man,MCU,2008-05-02,2008-09-30,Monday,7,720888.0,2403,46
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,7,680253.0,2403,47
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,7,723320.0,2403,48
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,7,743079.0,2403,49
Iron Man,MCU,2008-05-02,2008-09-30,Friday,9,1130531.0,1912,50
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,9,1644786.0,1912,51
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,9,1254955.0,1912,52
Iron Man,MCU,2008-05-02,2008-09-30,Monday,9,552947.0,1912,53
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,9,512328.0,1912,54
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,9,503165.0,1912,55
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,9,537624.0,1912,56
Iron Man,MCU,2008-05-02,2008-09-30,Friday,11,636953.0,1379,57
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,11,928651.0,1379,58
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,11,691509.0,1379,59
Iron Man,MCU,2008-05-02,2008-09-30,Monday,11,336907.0,1379,60
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,12,244176.0,1379,61
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,13,194080.0,1379,62
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,13,294039.0,1379,63
Iron Man,MCU,2008-05-02,2008-09-30,Friday,12,405289.0,1019,64
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,13,627496.0,1019,65
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,13,426828.0,1019,66
Iron Man,MCU,2008-05-02,2008-09-30,Monday,13,190671.0,1019,67
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,13,191766.0,1019,68
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,13,193844.0,1019,69
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,13,197477.0,1019,70
Iron Man,MCU,2008-05-02,2008-09-30,Friday,14,266545.0,710,71
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,14,393307.0,710,72
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,13,279282.0,710,73
Iron Man,MCU,2008-05-02,2008-09-30,Monday,13,126106.0,710,74
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,14,124522.0,710,75
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,13,132915.0,710,76
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,13,120562.0,710,77
Iron Man,MCU,2008-05-02,2008-09-30,Friday,16,141575.0,375,78
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,16,189969.0,375,79
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,16,120294.0,375,80
Iron Man,MCU,2008-05-02,2008-09-30,Monday,16,55221.0,375,81
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,16,57092.0,375,82
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,16,62696.0,375,83
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,16,63324.0,375,84
Iron Man,MCU,2008-05-02,2008-09-30,Friday,19,92172.0,274,85
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,20,127609.0,274,86
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,19,90873.0,274,87
Iron Man,MCU,2008-05-02,2008-09-30,Monday,19,42025.0,274,88
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,19,50392.0,274,89
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,19,46229.0,274,90
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,19,42988.0,274,91
Iron Man,MCU,2008-05-02,2008-09-30,Friday,15,174012.0,407,92
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,16,234185.0,407,93
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,16,171982.0,407,94
Iron Man,MCU,2008-05-02,2008-09-30,Monday,16,91440.0,407,95
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,17,94709.0,407,96
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,19,84511.0,407,97
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,19,83887.0,407,98
Iron Man,MCU,2008-05-02,2008-09-30,Friday,19,123484.0,345,99
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,19,177082.0,345,100
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,19,125936.0,345,101
Iron Man,MCU,2008-05-02,2008-09-30,Monday,19,60134.0,345,102
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,19,61890.0,345,103
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,20,62889.0,345,104
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,18,63387.0,345,105
Iron Man,MCU,2008-05-02,2008-09-30,Friday,22,101652.0,315,106
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,22,146586.0,315,107
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,23,92940.0,315,108
Iron Man,MCU,2008-05-02,2008-09-30,Monday,23,41171.0,315,109
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,22,46831.0,315,110
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,23,43460.0,315,111
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,24,40353.0,315,112
Iron Man,MCU,2008-05-02,2008-09-30,Friday,27,72954.0,257,113
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,26,106363.0,257,114
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,27,64025.0,257,115
Iron Man,MCU,2008-05-02,2008-09-30,Monday,28,22189.0,257,116
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,27,26116.0,257,117
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,25,24176.0,257,118
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,25,24587.0,257,119
Iron Man,MCU,2008-05-02,2008-09-30,Friday,29,49601.0,220,120
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,29,84640.0,220,121
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,28,89395.0,220,122
Iron Man,MCU,2008-05-02,2008-09-30,Monday,31,53520.0,220,123
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,29,11162.0,220,124
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,29,10305.0,220,125
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,29,10893.0,220,126
Iron Man,MCU,2008-05-02,2008-09-30,Friday,32,35385.0,205,127
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,32,61965.0,205,128
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,32,29384.0,205,129
Iron Man,MCU,2008-05-02,2008-09-30,Monday,32,7192.0,205,130
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,31,8577.0,205,131
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,31,8265.0,205,132
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,30,9120.0,205,133
Iron Man,MCU,2008-05-02,2008-09-30,Friday,32,26103.0,156,134
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,31,46788.0,156,135
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,32,21925.0,156,136
Iron Man,MCU,2008-05-02,2008-09-30,Monday,33,5552.0,156,137
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,33,6383.0,156,138
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,33,6697.0,156,139
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,33,6745.0,156,140
Iron Man,MCU,2008-05-02,2008-09-30,Friday,36,15656.0,124,141
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,35,27820.0,124,142
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,36,15561.0,124,143
Iron Man,MCU,2008-05-02,2008-09-30,Monday,36,4631.0,124,144
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,36,5731.0,124,145
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,35,4955.0,124,146
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,35,5345.0,124,147
Iron Man,MCU,2008-05-02,2008-09-30,Friday,39,16942.0,121,148
Iron Man,MCU,2008-05-02,2008-09-30,Saturday,38,28836.0,121,149
Iron Man,MCU,2008-05-02,2008-09-30,Sunday,41,12586.0,121,150
Iron Man,MCU,2008-05-02,2008-09-30,Monday,40,3737.0,121,151
Iron Man,MCU,2008-05-02,2008-09-30,Tuesday,40,4033.0,121,152
Iron Man,MCU,2008-05-02,2008-09-30,Wednesday,41,3455.0,121,153
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,41,3794.0,121,154
Iron Man,MCU,2008-05-02,2008-09-30,Thursday,11,192025.0,1105,735
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,1,21468125.0,3505,1
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,1,18383725.0,3505,2
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,1,15562200.0,3505,3
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,1,6010405.0,3505,4
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,1,4801850.0,3505,5
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,1,4503925.0,3505,6
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,1,4189140.0,3505,7
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,2,6665335.0,3508,8
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,2,8559520.0,3508,9
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,3,6911205.0,3508,10
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,3,2649125.0,3508,11
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,3,2333405.0,3508,12
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,3,2122340.0,3508,13
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,3,2121665.0,3508,14
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,5,2930375.0,3349,15
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,5,3749985.0,3349,16
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,5,2896885.0,3349,17
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,5,1323125.0,3349,18
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,6,1039225.0,3349,19
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,7,723505.0,2890,20
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,6,997050.0,2890,21
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,6,1262845.0,3043,22
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,6,2114885.0,3043,23
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,6,1521550.0,3043,24
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,6,700225.0,3043,25
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,7,701005.0,3043,26
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,7,699435.0,3043,27
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,7,639030.0,3043,28
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,10,690475.0,1945,29
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,10,943395.0,1945,30
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,9,690475.0,1945,31
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,10,330650.0,1945,32
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,10,319995.0,1945,33
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,10,312125.0,1945,34
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,11,272445.0,1945,35
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,15,196785.0,656,36
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,15,249280.0,656,37
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,15,180450.0,656,38
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,15,88560.0,656,39
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,15,85280.0,656,40
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,15,85335.0,656,41
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,15,91840.0,656,42
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,17,128960.0,403,43
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,16,167245.0,403,44
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,16,126945.0,403,45
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,16,64480.0,403,46
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,16,68605.0,403,47
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,16,68450.0,403,48
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,16,62465.0,403,49
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,17,159280.0,362,50
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,17,190050.0,362,51
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,17,128510.0,362,52
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,18,72395.0,362,53
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,18,72445.0,362,54
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,20,52965.0,321,55
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,20,54570.0,321,56
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,20,86320.0,332,57
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,20,136115.0,332,58
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,20,86355.0,332,59
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,21,41500.0,332,60
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,21,46595.0,332,61
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,22,38495.0,308,62
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,22,38445.0,308,63
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,30,51300.0,228,64
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,29,76380.0,228,65
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,28,52440.0,228,66
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,26,21660.0,228,67
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,29,25080.0,228,68
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,27,23895.0,228,69
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,29,23940.0,228,70
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,35,29445.0,151,71
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,35,46055.0,151,72
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,34,27935.0,151,73
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,34,10570.0,151,74
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,34,9815.0,151,75
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,35,9230.0,142,76
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,34,9815.0,142,77
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Friday,37,15485.0,100,78
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Saturday,35,27510.0,100,79
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Sunday,36,30500.0,100,80
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Monday,39,17965.0,100,81
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Tuesday,35,4995.0,100,82
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Wednesday,34,5495.0,100,83
The Incredible Hulk,MCU,2008-06-13,2008-10-21,Thursday,34,5005.0,100,84
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,1,51239677.0,4380,1
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,1,45776170.0,4380,2
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,1,31106633.0,4380,3
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,1,9366982.0,4380,4
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,1,8380235.0,4380,5
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,1,6951326.0,4380,6
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,1,6338848.0,4380,7
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,1,15120949.0,4390,8
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,1,22642564.0,4390,9
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,1,14277492.0,4390,10
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,1,3715485.0,4390,11
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,1,3565064.0,4390,12
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,1,3145551.0,4390,13
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,1,3037827.0,4390,14
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,2,7549509.0,4177,15
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,2,11505392.0,4177,16
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,2,7306357.0,4177,17
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,2,2215378.0,4177,18
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,2,1810492.0,4177,19
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,2,1684755.0,4177,20
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,3,1840224.0,4177,21
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,4,4440472.0,3804,22
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,4,6165974.0,3804,23
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,4,5852544.0,3804,24
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,4,4617249.0,3804,25
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,4,1386018.0,3804,26
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,4,1220457.0,3804,27
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,4,1251538.0,3804,28
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,8,2189199.0,3007,29
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,7,3482014.0,3007,30
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,7,2247495.0,3007,31
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,7,802229.0,3007,32
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,7,827461.0,3007,33
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,7,848031.0,3007,34
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,7,853593.0,3007,35
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,9,1342063.0,2305,36
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,9,1936638.0,2305,37
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,9,1242505.0,2305,38
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,9,538035.0,2305,39
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,9,511560.0,2305,40
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,9,536515.0,2305,41
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,9,469577.0,2305,42
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,10,715417.0,1612,43
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,10,1049141.0,1612,44
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,9,1107694.0,1612,45
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,10,342907.0,1612,46
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,11,331915.0,1612,47
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,12,300013.0,1612,48
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,11,322105.0,1612,49
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,11,410966.0,1169,50
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,11,593766.0,1169,51
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,11,431646.0,1169,52
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,11,194463.0,1169,53
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,13,180240.0,1169,54
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,11,175166.0,1169,55
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,11,160947.0,1169,56
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,13,215079.0,522,57
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,13,243163.0,522,58
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,11,180072.0,522,59
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,11,237520.0,522,60
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,13,106552.0,522,61
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,11,101621.0,522,62
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,10,106069.0,522,63
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,17,121643.0,333,64
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,17,170995.0,333,65
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,16,100117.0,333,66
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,17,53511.0,333,67
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,17,61215.0,333,68
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,18,55289.0,333,69
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,18,49541.0,333,70
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,13,168147.0,362,71
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,13,221843.0,362,72
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,13,171750.0,362,73
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,13,91726.0,362,74
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,13,108329.0,362,75
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,13,90655.0,362,76
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,13,92549.0,362,77
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,15,136636.0,330,78
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,15,178357.0,330,79
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,15,123982.0,330,80
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,16,67183.0,330,81
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,16,74910.0,330,82
Iron Man 2,MCU,2010-05-07,2010-09-28,Wednesday,17,67734.0,330,83
Iron Man 2,MCU,2010-05-07,2010-09-28,Thursday,17,65079.0,330,84
Iron Man 2,MCU,2010-05-07,2010-09-28,Friday,19,91350.0,286,85
Iron Man 2,MCU,2010-05-07,2010-09-28,Saturday,19,122483.0,286,86
Iron Man 2,MCU,2010-05-07,2010-09-28,Sunday,20,87444.0,286,87
Iron Man 2,MCU,2010-05-07,2010-09-28,Monday,19,48008.0,286,88
Iron Man 2,MCU,2010-05-07,2010-09-28,Tuesday,19,52668.0,286,89
